,Name,Parameters,Memory,Inference time
0,AE_R1,455565,1.82226,0.010795956
1,AE+MoE,2946193,11.784772,0.232841453
2,AE+LSTM,8804909,35.219636,0.19432667
3,RBF-CAT+LSTM,9099949,36.399796,0.204531678
4,RBF-IN+LSTM,8575661,34.302644,0.194924382
5,RBF-CAT+MoE,3650833,14.603332,0.287363732
6,RBF-IN+MoE,2716945,10.86778,0.209693979
7,VAE-CAT+LSTM,9132845,36.53138,0.194237499
8,VAE-IN+LSTM,8608557,34.434228,0.185085377
9,VAE-CAT+MoE,3683729,14.734916,0.280829157
10,VAE-IN+MoE,2749841,10.999364,0.202796717
11,DEC-CAT+MoE,3650705,14.60282,0.288798079
12,DEC-IN+MoE,2716817,10.867268,0.213846822
13,AE+MoE_reduc,2946193,11.784772,0.232841453
14,AE+LSTM_reduc,8804909,35.219636,0.19432667
15,RBF-CAT+LSTM_reduc,9099949,36.399796,0.204531678
16,RBF-IN+LSTM_reduc,8575661,34.302644,0.194924382
17,RBF-CAT+MoE_reduc,3650833,14.603332,0.287363732
18,RBF-IN+MoE_reduc,2716945,10.86778,0.209693979
19,VAE-CAT+LSTM_reduc,9132845,36.53138,0.194237499
20,VAE-IN+LSTM_reduc,8608557,34.434228,0.185085377
21,VAE-CAT+MoE_reduc,3683729,14.734916,0.280829157
22,VAE-IN+MoE_reduc,2749841,10.999364,0.202796717
23,DEC-CAT+MoE_reduc,3650705,14.60282,0.288798079
24,DEC-IN+MoE_reduc,2716817,10.867268,0.213846822
