,recon_error,adv_error,rot_error,delta_rot
AE_F_vs_AE_T,0.393,0.102,0.083,0.297
AE_F_vs_RBF_F,0.0,0.0,0.011,0.775
AE_F_vs_RBF_T,0.068,0.081,0.048,0.673
AE_F_vs_VAE_F,0.0,0.226,0.0,0.0
AE_F_vs_VAE_T,0.182,0.753,0.085,0.0
AE_F_vs_DEC_F,0.0,0.0,0.932,0.381
AE_F_vs_DEC_T,0.0,0.0,0.001,0.0
AE_T_vs_RBF_F,0.003,0.0,0.001,0.258
AE_T_vs_RBF_T,0.079,0.001,0.0,0.186
AE_T_vs_VAE_F,0.0,0.0,0.013,0.0
AE_T_vs_VAE_T,0.0,0.795,0.911,0.0
AE_T_vs_DEC_F,0.0,0.0,0.0,0.0
AE_T_vs_DEC_T,0.0,0.0,0.001,0.0
RBF_F_vs_RBF_T,0.555,0.0,0.0,0.38
RBF_F_vs_VAE_F,0.727,0.933,0.0,0.0
RBF_F_vs_VAE_T,0.0,0.0,0.506,0.0
RBF_F_vs_DEC_F,0.0,0.153,0.586,0.0
RBF_F_vs_DEC_T,0.789,0.758,0.006,0.0
RBF_T_vs_VAE_F,0.224,0.967,0.0,0.0
RBF_T_vs_VAE_T,0.347,0.396,0.0,0.0
RBF_T_vs_DEC_F,0.0,0.0,0.0,0.013
RBF_T_vs_DEC_T,0.0,0.0,0.0,0.0
VAE_F_vs_VAE_T,0.0,0.105,0.0,0.0
VAE_F_vs_DEC_F,0.0,0.0,0.046,0.0
VAE_F_vs_DEC_T,0.226,0.003,0.471,0.0
VAE_T_vs_DEC_F,0.0,0.0,0.023,0.0
VAE_T_vs_DEC_T,0.0,0.0,0.421,0.001
DEC_F_vs_DEC_T,0.0,0.191,0.134,0.0
FC_Frozen,0.0,0.0,0.0,0.0
FC_Trained,0.0,0.0,0.0,0.0
Frozen,0.0,0.0,0.0,0.0
Trained,0.0,0.0,0.0,0.0
All,0.0,0.0,0.0,0.0
