,recon_error,adv_error,rot_error,delta_rot
AE_FE_vs_RBF_FC,0.0,0.0,0.034,0.597
AE_FE_vs_VAE_FC,0.192,0.884,0.52,0.0
AE_FE_vs_DEC_FC,0.002,0.037,0.0,0.018
AE_FE_vs_AE_FS,0.49,0.045,0.0,0.823
AE_FE_vs_RBF_FS,0.015,0.0,0.0,0.386
AE_FE_vs_VAE_FS,0.0,0.016,0.0,0.0
AE_FE_vs_DEC_FS,0.0,0.0,0.0,0.0
RBF_FC_vs_VAE_FC,0.048,0.0,0.139,0.0
RBF_FC_vs_DEC_FC,0.0,0.0,0.0,0.028
RBF_FC_vs_AE_FS,0.0,0.383,0.0,0.887
RBF_FC_vs_RBF_FS,0.0,0.826,0.0,0.076
RBF_FC_vs_VAE_FS,0.891,0.281,0.0,0.0
RBF_FC_vs_DEC_FS,0.0,0.0,0.0,0.001
VAE_FC_vs_DEC_FC,0.0,0.093,0.0,0.004
VAE_FC_vs_AE_FS,0.0,0.102,0.0,0.0
VAE_FC_vs_RBF_FS,0.0,0.0,0.107,0.0
VAE_FC_vs_VAE_FS,0.036,0.063,0.0,0.77
VAE_FC_vs_DEC_FS,0.0,0.004,0.0,0.153
DEC_FC_vs_AE_FS,0.018,0.0,0.472,0.638
DEC_FC_vs_RBF_FS,0.003,0.0,0.0,0.858
DEC_FC_vs_VAE_FS,0.0,0.0,0.0,0.0
DEC_FC_vs_DEC_FS,0.323,0.205,0.001,0.001
AE_FS_vs_RBF_FS,0.079,0.001,0.0,0.186
AE_FS_vs_VAE_FS,0.0,0.795,0.911,0.0
AE_FS_vs_DEC_FS,0.0,0.0,0.001,0.0
RBF_FS_vs_VAE_FS,0.347,0.396,0.0,0.0
RBF_FS_vs_DEC_FS,0.0,0.0,0.0,0.0
VAE_FS_vs_DEC_FS,0.0,0.0,0.421,0.001
FE_vs_FC,0.0,0.0,0.0,0.0
FE_vs_FS,0.0,0.0,0.0,0.0
FC_vs_FS,0.0,0.0,0.0,0.0
All,0.0,0.0,0.0,0.0
