,recon_error,adv_error,rot_error,delta_rot
IN_RAW_vs_IN_F,0.183,0.0,0.003,0.0
IN_RAW_vs_IN_T,0.0,0.0,0.0,0.0
IN_RAW_vs_CAT_RAW,0.053,0.534,0.636,0.004
IN_RAW_vs_CAT_F,0.0,0.0,0.152,0.0
IN_RAW_vs_CAT_T,0.0,0.0,0.311,0.071
IN_F_vs_IN_T,0.0,0.0,0.0,0.0
IN_F_vs_CAT_RAW,0.333,0.005,0.025,0.0
IN_F_vs_CAT_F,0.0,0.0,0.344,0.804
IN_F_vs_CAT_T,0.0,0.005,0.0,0.0
IN_T_vs_CAT_RAW,0.0,0.0,0.0,0.0
IN_T_vs_CAT_F,0.654,0.74,0.0,0.0
IN_T_vs_CAT_T,0.0,0.179,0.001,0.0
CAT_RAW_vs_CAT_F,0.0,0.0,0.65,0.0
CAT_RAW_vs_CAT_T,0.0,0.953,0.282,0.0
CAT_F_vs_CAT_T,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0
CAT,0.0,0.0,0.0,0.0
All,0.0,0.0,0.0,0.0
