,recon_error,adv_error,rot_error,delta_rot
IN_RAW_vs_IN_F,0.01,0.0,0.852,0.0
IN_RAW_vs_IN_T,0.0,0.0,0.004,0.0
IN_RAW_vs_CAT_RAW,0.0,0.0,0.0,0.0
IN_RAW_vs_CAT_F,0.0,0.0,0.0,0.004
IN_RAW_vs_CAT_T,0.0,0.0,0.0,0.0
IN_F_vs_IN_T,0.1,0.854,0.549,0.0
IN_F_vs_CAT_RAW,0.0,0.916,0.0,0.0
IN_F_vs_CAT_F,0.0,0.0,0.0,0.0
IN_F_vs_CAT_T,0.0,0.0,0.0,0.0
IN_T_vs_CAT_RAW,0.764,0.987,0.001,0.0
IN_T_vs_CAT_F,0.0,0.0,0.0,0.0
IN_T_vs_CAT_T,0.0,0.045,0.0,0.0
CAT_RAW_vs_CAT_F,0.0,0.0,0.0,0.0
CAT_RAW_vs_CAT_T,0.0,0.0,0.0,0.0
CAT_F_vs_CAT_T,0.063,0.025,0.029,0.0
IN,0.0,0.0,0.013,0.0
CAT,0.0,0.0,0.0,0.0
All,0.0,0.0,0.0,0.0
