,recon_error,delta_rot
AE_F_vs_AE_T,3.934e-01,2.974e-01
AE_F_vs_RBF_F,6.370e-25,7.753e-01
AE_F_vs_RBF_T,6.791e-02,6.726e-01
AE_F_vs_VAE_F,1.162e-34,6.579e-120
AE_F_vs_VAE_T,1.819e-01,3.969e-22
AE_F_vs_DEC_F,2.592e-162,3.811e-01
AE_F_vs_DEC_T,2.109e-37,1.692e-07
AE_T_vs_RBF_F,3.154e-03,2.579e-01
AE_T_vs_RBF_T,7.886e-02,1.861e-01
AE_T_vs_VAE_F,7.950e-07,1.704e-123
AE_T_vs_VAE_T,4.348e-08,4.993e-32
AE_T_vs_DEC_F,1.349e-153,1.105e-07
AE_T_vs_DEC_T,2.064e-17,1.743e-04
RBF_F_vs_RBF_T,5.546e-01,3.801e-01
RBF_F_vs_VAE_F,7.270e-01,3.489e-139
RBF_F_vs_VAE_T,1.513e-21,1.461e-39
RBF_F_vs_DEC_F,2.433e-68,1.124e-04
RBF_F_vs_DEC_T,7.891e-01,1.429e-07
RBF_T_vs_VAE_F,2.238e-01,3.761e-154
RBF_T_vs_VAE_T,3.468e-01,5.137e-38
RBF_T_vs_DEC_F,3.101e-145,1.347e-02
RBF_T_vs_DEC_T,1.461e-07,4.628e-09
VAE_F_vs_VAE_T,3.861e-31,1.685e-59
VAE_F_vs_DEC_F,6.500e-61,9.294e-192
VAE_F_vs_DEC_T,2.257e-01,4.851e-79
VAE_T_vs_DEC_F,5.299e-156,7.853e-10
VAE_T_vs_DEC_T,1.113e-24,5.057e-04
DEC_F_vs_DEC_T,6.663e-83,3.269e-39
FC_Frozen,2.511e-84,7.318e-237
FC_Trained,6.203e-55,7.380e-51
Frozen,3.444e-194,3.768e-248
Trained,4.431e-56,2.183e-55
All,0.000e+00,0.000e+00
