,recon_error,delta_rot
IN_RAW_vs_IN_F,1.831e-01,1.006e-12
IN_RAW_vs_IN_T,5.844e-07,4.650e-31
IN_RAW_vs_CAT_RAW,5.319e-02,3.741e-03
IN_RAW_vs_CAT_F,4.573e-17,8.396e-08
IN_RAW_vs_CAT_T,3.996e-78,7.072e-02
IN_F_vs_IN_T,4.298e-04,1.478e-04
IN_F_vs_CAT_RAW,3.331e-01,4.082e-39
IN_F_vs_CAT_F,3.443e-08,8.040e-01
IN_F_vs_CAT_T,9.270e-68,2.698e-08
IN_T_vs_CAT_RAW,6.862e-06,1.877e-24
IN_T_vs_CAT_F,6.544e-01,3.731e-08
IN_T_vs_CAT_T,1.926e-40,7.517e-25
CAT_RAW_vs_CAT_F,2.875e-12,5.639e-35
CAT_RAW_vs_CAT_T,3.691e-33,2.288e-15
CAT_F_vs_CAT_T,6.957e-18,1.199e-05
IN,2.161e-06,2.897e-32
CAT,2.003e-72,1.263e-35
All,6.020e-120,1.733e-81
