,recon_error,delta_rot
IN_RAW_vs_IN_F,0.92679999999999996,1.0569999999999999e-14
IN_RAW_vs_IN_T,0.0048139999999999997,9.5669999999999992e-40,,,IN_RAW,IN_F,IN_T,CAT_RAW,CAT_F,CAT_T
IN_RAW_vs_CAT_RAW,2.2750000000000002e-47,0.52800000000000002,,IN_RAW,,0.92679999999999996,0.0048139999999999997,2.2750000000000002e-47,1.9750000000000001e-151,9.8920000000000001e-157
IN_RAW_vs_CAT_F,1.9750000000000001e-151,0.1167,,IN_F,,,,,,
IN_RAW_vs_CAT_T,9.8920000000000001e-157,0.1993,,IN_T,,,,,,
IN_F_vs_IN_T,0.5444,0.45669999999999999,,CAT_RAW,,,,,,
IN_F_vs_CAT_RAW,2.3769999999999999e-27,2.229e-21,,CAT_F,,,,,,
IN_F_vs_CAT_F,5.7309999999999997e-128,4.728e-33,,CAT_T,,,,,,
IN_F_vs_CAT_T,4.9889999999999997e-133,7.67e-24,,,,,,,,
IN_T_vs_CAT_RAW,9.6799999999999995e-22,4.1440000000000002e-59,,,,,,,,
IN_T_vs_CAT_F,2.195e-141,1.7410000000000001e-66,,,,,,,,
IN_T_vs_CAT_T,6.1219999999999997e-148,1.349e-62,,,,,,,,
CAT_RAW_vs_CAT_F,2.4619999999999999e-57,0.001,,,,,,,,
CAT_RAW_vs_CAT_T,1.401e-57,0.40720000000000001,,,,,,,,
CAT_F_vs_CAT_T,0.12839999999999999,0.68210000000000004,,,,,,,,
IN,0.0059280000000000001,3.117e-40,,,,,,,,
CAT,7.2940000000000002e-75,0.0028730000000000001,,,,,,,,
All,0,6.9059999999999997e-106,,,,,,,,
