,recon_error,delta_rot
IN_RAW_vs_IN_F,9.559e-03,1.062e-17
IN_RAW_vs_IN_T,3.642e-30,7.661e-132
IN_RAW_vs_CAT_RAW,3.614e-72,9.409e-44
IN_RAW_vs_CAT_F,1.867e-183,3.914e-03
IN_RAW_vs_CAT_T,1.293e-165,5.924e-11
IN_F_vs_IN_T,9.951e-02,4.307e-21
IN_F_vs_CAT_RAW,2.028e-14,2.231e-43
IN_F_vs_CAT_F,6.243e-120,5.438e-135
IN_F_vs_CAT_T,5.385e-97,7.460e-164
IN_T_vs_CAT_RAW,7.637e-01,3.440e-14
IN_T_vs_CAT_F,3.449e-97,6.317e-224
IN_T_vs_CAT_T,1.200e-102,1.066e-257
CAT_RAW_vs_CAT_F,1.769e-42,4.537e-33
CAT_RAW_vs_CAT_T,1.685e-42,7.970e-120
CAT_F_vs_CAT_T,6.279e-02,3.223e-08
IN,1.186e-42,2.346e-147
CAT,8.196e-71,8.424e-138
All,0.000e+00,0.000e+00
