,Re. error,Adv. error,Rot. error,RMS
AE+MoE_RAW_R2,0.07099007815122604,0.1695404052734375,5.7621941566467285,0.06584229188139842
AE+MoE_RAW_R3,0.06930925697088242,0.3482922315597534,8.37799072265625,0.07150366543782204
AE+MoE_RAW_R4,0.0463855005800724,0.15077537298202515,3.772235870361328,0.04231456557819103
AE+MoE_RAW_R5,0.07138434052467346,0.18745912611484528,4.125014305114746,0.040545069179247266
AE+MoE_F_R2,0.0388665571808815,0.15584369003772736,4.61168909072876,0.06853466220335276
AE+MoE_F_R3,0.027610192075371742,0.31577232480049133,6.409914016723633,0.0634195902510295
AE+MoE_F_R4,0.03299839794635773,0.15428943932056427,3.308401346206665,0.05092490617223508
AE+MoE_F_R5,0.03374602273106575,0.17020629346370697,3.182051420211792,0.048657706324600834
AE+MoE_T_R2,0.05260847508907318,0.16310754418373108,4.861639499664307,0.06434469174982153
AE+MoE_T_R3,0.027169110253453255,0.3052796721458435,6.297761917114258,0.0643580315918432
AE+MoE_T_R4,0.04030698537826538,0.15182916820049286,3.3877382278442383,0.04780502716521818
AE+MoE_T_R5,0.029873140156269073,0.17133091390132904,3.1673309803009033,0.046236035099934535
RBF-IN+MoE_RAW_R2,0.13210082054138184,0.17689120769500732,5.674741268157959,0.0613039642763704
RBF-IN+MoE_RAW_R3,0.10211322456598282,0.45653799176216125,8.053142547607422,0.07470377034218598
RBF-IN+MoE_RAW_R4,0.08304468542337418,0.1620797961950302,4.86521577835083,0.052230465512451474
RBF-IN+MoE_RAW_R5,0.09664984792470932,0.2110937237739563,4.534486293792725,0.036444563492364364
RBF-IN+MoE_F_R2,0.1349310278892517,0.18748490512371063,6.0830397605896,0.08861379786882027
RBF-IN+MoE_F_R3,0.097718246281147,0.342538058757782,7.997342586517334,0.15360576678700746
RBF-IN+MoE_F_R4,0.08299170434474945,0.16224190592765808,4.747584342956543,0.06101648239190906
RBF-IN+MoE_F_R5,0.08371298760175705,0.18488173186779022,4.439348220825195,0.07779493543467704
RBF-IN+MoE_T_R2,0.11482559889554977,0.1683793067932129,5.44331693649292,0.09522830002309411
RBF-IN+MoE_T_R3,0.08378663659095764,0.3719232380390167,8.153525352478027,0.11777905036438693
RBF-IN+MoE_T_R4,0.07648556679487228,0.15504935383796692,4.618951320648193,0.0667579613884836
RBF-IN+MoE_T_R5,0.08374219387769699,0.18155010044574738,4.348715782165527,0.07616571147085871
RBF-CAT+MoE_RAW_R2,0.05835812911391258,0.1636011004447937,5.702674388885498,0.05918717252223567
RBF-CAT+MoE_RAW_R3,0.06623733788728714,0.37010422348976135,8.177591323852539,0.06842961863576096
RBF-CAT+MoE_RAW_R4,0.04946107044816017,0.15214736759662628,4.164408206939697,0.05040869784958979
RBF-CAT+MoE_RAW_R5,0.05800008401274681,0.18102601170539856,3.866717576980591,0.04767933930135862
RBF-CAT+MoE_F_R2,0.037653982639312744,0.15905742347240448,4.7519402503967285,0.07128867064462682
RBF-CAT+MoE_F_R3,0.03104453533887863,0.3313509523868561,6.720009803771973,0.07151649996100258
RBF-CAT+MoE_F_R4,0.03367513418197632,0.1484239548444748,3.373969078063965,0.04833412684464705
RBF-CAT+MoE_F_R5,0.03424245864152908,0.1693083792924881,3.208561420440674,0.05076539084177658
RBF-CAT+MoE_T_R2,0.04245497286319733,0.15760326385498047,5.211245536804199,0.06481821548463167
RBF-CAT+MoE_T_R3,0.03988870605826378,0.33740460872650146,6.840596675872803,0.06601344705437695
